Date/Time,Word Count,en,fr-FR,br-FR,zh-Hans,ko-KR,ru-RU,de-DE,es-ES,pt-BR,ja-JP
2017.07.31-14.09.27,0,0,0,0,0,0,0,0,0,0,0
2017.07.31-14.10.55,0,0,0,0,0,0,0,0,0,0,0
2017.07.31-14.13.02,2642,2642,0,0,0,0,0,0,0,0,0
2017.08.10-10.09.03,1049,1049,0,0,0,0,0,0,0,0,0
2017.08.10-12.18.37,836,836,0,0,0,0,0,0,0,0,0
2017.08.10-12.27.30,805,805,0,0,0,0,0,0,0,0,0
2017.08.10-12.39.24,731,731,0,0,0,0,0,0,0,0,0
2017.08.10-12.51.20,639,639,0,0,0,0,0,0,0,0,0
2017.08.10-13.02.25,631,631,0,0,0,0,0,0,0,0,0
2017.08.10-13.20.17,611,611,0,0,0,0,0,0,0,0,0
2017.08.10-14.23.30,611,611,611,0,0,0,0,0,0,0,0
2017.08.10-14.26.08,611,611,611,0,0,0,0,0,0,0,0
2017.08.10-14.29.25,604,604,604,0,0,0,0,0,0,0,0
2017.08.10-14.42.40,574,574,561,0,0,0,0,0,0,0,0
2017.08.10-14.47.24,558,558,545,0,0,0,0,0,0,0,0
2017.08.10-15.40.35,560,560,540,0,0,0,0,0,0,0,0
2017.08.10-15.46.10,560,560,553,0,0,0,0,0,0,0,0
2017.08.10-15.50.04,560,560,560,0,0,0,0,0,0,0,0
2017.08.16-18.45.21,653,653,546,0,0,0,0,0,0,0,0
2017.08.16-18.51.57,631,631,546,0,0,0,0,0,0,0,0
2017.08.17-10.36.00,630,630,545,0,0,0,0,0,0,0,0
2017.08.17-10.44.22,636,636,573,0,0,0,0,0,0,0,0
2017.08.17-10.47.24,636,636,587,0,0,0,0,0,0,0,0
2017.08.17-10.54.25,636,636,636,0,0,0,0,0,0,0,0
2017.08.17-11.47.26,636,636,636,0,636,0,0,0,0,0,0
2017.08.17-11.48.35,636,636,636,0,636,0,0,0,0,0,0
2017.08.17-12.00.45,636,636,636,636,636,0,0,0,0,0,0
2017.08.17-12.01.07,636,636,636,636,636,0,0,636,0,0,0
2017.08.17-12.01.44,636,636,636,636,636,0,0,636,0,0,636
2017.08.17-12.02.11,636,636,636,636,636,636,0,636,0,0,636
2017.08.17-12.02.27,636,636,636,636,636,636,0,636,0,636,636
2017.08.17-12.02.44,636,636,636,636,636,636,636,636,0,636,636
2017.08.17-12.02.59,636,636,636,636,636,636,636,636,636,636,636
2017.08.17-12.37.20,640,640,636,636,636,636,636,636,636,636,636
2017.08.17-12.40.19,640,640,640,636,640,636,636,636,636,636,636
2017.08.17-15.37.08,640,640,640,636,640,636,640,636,640,636,636
2017.08.17-17.55.23,640,640,640,636,640,636,640,640,640,640,640
2017.08.17-18.27.44,640,640,640,636,640,640,640,640,640,640,640
